run_id,source_id,relative_path,filename,extension,detected_mime_type,detected_type,extension_type_mismatch,size_bytes,sha256,container_source_id,container_path,archive_member_name,folder_area,likely_document_class,likely_workstream,inventory_status,extraction_status,readability_status,error,warnings,duplicate_group,near_duplicate_group,same_basename_group,version_family,probable_version_status,probable_version_confidence,analysis_eligible,include_in_analysis,review_required
20260901T081036940718Z-ea9100a654cb,SRC-0001,01_Performance_Pack/PX-A11.pdf,PX-A11.pdf,.pdf,application/pdf,pdf,False,2234,98643bb49aa3d8987899ea0fae86a7764515f2a30e9cd371f9ee8ada948e2c8f,,,,01_Performance_Pack,unknown,unknown,registered,not_started,readable,,[],,,,,undetermined,0.0,True,True,True
20260901T081036940718Z-ea9100a654cb,SRC-0002,01_Performance_Pack/PX-A12.pdf,PX-A12.pdf,.pdf,application/pdf,pdf,False,2236,9a433d8c576c56dbe3993d381d699e5b8f18b2e976ef622634a29f815704312d,,,,01_Performance_Pack,unknown,unknown,registered,not_started,readable,,[],,,,,undetermined,0.0,True,True,True
20260901T081036940718Z-ea9100a654cb,SRC-0003,01_Performance_Pack/PX-B04.pdf,PX-B04.pdf,.pdf,application/pdf,pdf,False,2334,f62cf8c67853009b4583e0e8c65e05b9bddaa105b570528227ec637eb021284a,,,,01_Performance_Pack,unknown,unknown,registered,not_started,readable,,[],,,,,undetermined,0.0,True,True,True
20260901T081036940718Z-ea9100a654cb,SRC-0004,01_Performance_Pack/PX-C19.xlsx,PX-C19.xlsx,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,False,4734,73f2f3fa8373da66de6bcef3a0cc121abf5c68fb80bf29d11f7e1308b7ff2ff5,,,,01_Performance_Pack,unknown,unknown,registered,not_started,readable,,[],,,,,undetermined,0.0,True,True,True
20260901T081036940718Z-ea9100a654cb,SRC-0005,01_Performance_Pack/PX-D02.xlsx,PX-D02.xlsx,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,False,4010,8a37ab787e731e7db42445ec1177a73255ce1527c0fbaebcfefd7e26258084a3,,,,01_Performance_Pack,unknown,unknown,registered,not_started,readable,,[],,,,,undetermined,0.0,True,True,True
20260901T081036940718Z-ea9100a654cb,SRC-0006,01_Performance_Pack/PX-E07.xlsx,PX-E07.xlsx,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,False,3736,0f0328b88eebfa4d280dc7e8ce9dfbe43f83bb84ee3c4cf1bca3c754299657ae,,,,01_Performance_Pack,unknown,unknown,registered,not_started,readable,,[],,,,,undetermined,0.0,True,True,True
20260901T081036940718Z-ea9100a654cb,SRC-0007,01_Performance_Pack/PX-E08.xlsx,PX-E08.xlsx,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,False,3738,a1699d1f4dfad6d2f746839cf06499e5a2e104f76d67360b3233601c88e0b723,,,,01_Performance_Pack,unknown,unknown,registered,not_started,readable,,[],,,,,undetermined,0.0,True,True,True
20260901T081036940718Z-ea9100a654cb,SRC-0008,01_Performance_Pack/PX-E09.xlsx,PX-E09.xlsx,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,False,3706,1e230fb3dc3d43bf9863835bfca69fb6cc84567b764222e1a298f7818001500f,,,,01_Performance_Pack,unknown,unknown,registered,not_started,readable,,[],,,,,undetermined,0.0,True,True,True
20260901T081036940718Z-ea9100a654cb,SRC-0009,01_Performance_Pack/PX-E10.docx,PX-E10.docx,.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx,False,38236,a8a851a8616981ae4382a53a2c6850e0605c93f63599faa8c3e968cacb959643,,,,01_Performance_Pack,unknown,unknown,registered,not_started,readable,,[],,,,,undetermined,0.0,True,True,True
20260901T081036940718Z-ea9100a654cb,SRC-0010,01_Performance_Pack/PX-F01.xlsx,PX-F01.xlsx,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,False,3742,56f83ea84d545f8317569756e5f350889e426600bcb336556de9b15180247d3e,,,,01_Performance_Pack,unknown,unknown,registered,not_started,readable,,[],,,,,undetermined,0.0,True,True,True
